Month,y,lag1,lag12,window12,expanding,t
1950-01-01,115,118.0,112.0,126.91666666666667,126.66666666666667,0
1950-02-01,126,115.0,118.0,127.58333333333333,125.76923076923077,1
1950-03-01,141,126.0,132.0,128.33333333333334,125.78571428571429,2
1950-04-01,135,141.0,129.0,128.83333333333334,126.8,3
1950-05-01,125,135.0,121.0,129.16666666666666,127.3125,4
1950-06-01,149,125.0,135.0,130.33333333333334,127.17647058823529,5
1950-07-01,170,149.0,148.0,132.16666666666666,128.38888888888889,6
1950-08-01,170,170.0,148.0,134.0,130.57894736842104,7
1950-09-01,158,170.0,136.0,135.83333333333334,132.55,8
1950-10-01,133,158.0,119.0,137.0,133.76190476190476,9
1950-11-01,114,133.0,104.0,137.83333333333334,133.72727272727272,10
1950-12-01,140,114.0,118.0,139.66666666666666,132.8695652173913,11
1951-01-01,145,140.0,115.0,142.16666666666666,133.16666666666666,12
1951-02-01,150,145.0,126.0,144.16666666666666,133.64,13
1951-03-01,178,150.0,141.0,147.25,134.26923076923077,14
1951-04-01,163,178.0,135.0,149.58333333333334,135.88888888888889,15
1951-05-01,172,163.0,125.0,153.5,136.85714285714286,16
1951-06-01,178,172.0,149.0,155.91666666666666,138.06896551724137,17
1951-07-01,199,178.0,170.0,158.33333333333334,139.4,18
1951-08-01,199,199.0,170.0,160.75,141.32258064516128,19
1951-09-01,184,199.0,158.0,162.91666666666666,143.125,20
1951-10-01,162,184.0,133.0,165.33333333333334,144.36363636363637,21
1951-11-01,146,162.0,114.0,168.0,144.88235294117646,22
1951-12-01,166,146.0,140.0,170.16666666666666,144.9142857142857,23
1952-01-01,171,166.0,145.0,172.33333333333334,145.5,24
1952-02-01,180,171.0,150.0,174.83333333333334,146.1891891891892,25
1952-03-01,193,180.0,178.0,176.08333333333334,147.07894736842104,26
1952-04-01,181,193.0,163.0,177.58333333333334,148.25641025641025,27
1952-05-01,183,181.0,172.0,178.5,149.075,28
1952-06-01,218,183.0,178.0,181.83333333333334,149.90243902439025,29
1952-07-01,230,218.0,199.0,184.41666666666666,151.52380952380952,30
1952-08-01,242,230.0,199.0,188.0,153.34883720930233,31
1952-09-01,209,242.0,184.0,190.08333333333334,155.36363636363637,32
1952-10-01,191,209.0,162.0,192.5,156.55555555555554,33
1952-11-01,172,191.0,146.0,194.66666666666666,157.30434782608697,34
1952-12-01,194,172.0,166.0,197.0,157.61702127659575,35
1953-01-01,196,194.0,171.0,199.08333333333334,158.375,36
1953-02-01,196,196.0,180.0,200.41666666666666,159.14285714285714,37
1953-03-01,236,196.0,193.0,204.0,159.88,38
1953-04-01,235,236.0,181.0,208.5,161.37254901960785,39
1953-05-01,229,235.0,183.0,212.33333333333334,162.78846153846155,40
1953-06-01,243,229.0,218.0,214.41666666666666,164.03773584905662,41
1953-07-01,264,243.0,230.0,217.25,165.5,42
1953-08-01,272,264.0,242.0,219.75,167.29090909090908,43
1953-09-01,237,272.0,209.0,222.08333333333334,169.16071428571428,44
1953-10-01,211,237.0,191.0,223.75,170.35087719298247,45
1953-11-01,180,211.0,172.0,224.41666666666666,171.05172413793105,46
1953-12-01,201,180.0,194.0,225.0,171.20338983050848,47
1954-01-01,204,201.0,196.0,225.66666666666666,171.7,48
1954-02-01,188,204.0,196.0,225.0,172.2295081967213,49
1954-03-01,235,188.0,236.0,224.91666666666666,172.48387096774192,50
1954-04-01,227,235.0,235.0,224.25,173.47619047619048,51
1954-05-01,234,227.0,229.0,224.66666666666666,174.3125,52
1954-06-01,264,234.0,243.0,226.41666666666666,175.23076923076923,53
1954-07-01,302,264.0,264.0,229.58333333333334,176.57575757575756,54
1954-08-01,293,302.0,272.0,231.33333333333334,178.44776119402985,55
1954-09-01,259,293.0,237.0,233.16666666666666,180.13235294117646,56
1954-10-01,229,259.0,211.0,234.66666666666666,181.2753623188406,57
1954-11-01,203,229.0,180.0,236.58333333333334,181.95714285714286,58
1954-12-01,229,203.0,201.0,238.91666666666666,182.25352112676057,59
1955-01-01,242,229.0,204.0,242.08333333333334,182.90277777777777,60
1955-02-01,233,242.0,188.0,245.83333333333334,183.7123287671233,61
1955-03-01,267,233.0,235.0,248.5,184.3783783783784,62
1955-04-01,269,267.0,227.0,252.0,185.48,63
1955-05-01,270,269.0,234.0,255.0,186.57894736842104,64
1955-06-01,315,270.0,264.0,259.25,187.66233766233765,65
1955-07-01,364,315.0,302.0,264.4166666666667,189.2948717948718,66
1955-08-01,347,364.0,293.0,268.9166666666667,191.50632911392404,67
1955-09-01,312,347.0,259.0,273.3333333333333,193.45,68
1955-10-01,274,312.0,229.0,277.0833333333333,194.91358024691357,69
1955-11-01,237,274.0,203.0,279.9166666666667,195.8780487804878,70
1955-12-01,278,237.0,229.0,284.0,196.3734939759036,71
1956-01-01,284,278.0,242.0,287.5,197.3452380952381,72
1956-02-01,277,284.0,233.0,291.1666666666667,198.36470588235295,73
1956-03-01,317,277.0,267.0,295.3333333333333,199.27906976744185,74
1956-04-01,313,317.0,269.0,299.0,200.632183908046,75
1956-05-01,318,313.0,270.0,303.0,201.9090909090909,76
1956-06-01,374,318.0,315.0,307.9166666666667,203.2134831460674,77
1956-07-01,413,374.0,364.0,312.0,205.11111111111111,78
1956-08-01,405,413.0,347.0,316.8333333333333,207.3956043956044,79
1956-09-01,355,405.0,312.0,320.4166666666667,209.54347826086956,80
1956-10-01,306,355.0,274.0,323.0833333333333,211.10752688172042,81
1956-11-01,271,306.0,237.0,325.9166666666667,212.11702127659575,82
1956-12-01,306,271.0,278.0,328.25,212.73684210526315,83
1957-01-01,315,306.0,284.0,330.8333333333333,213.70833333333334,84
1957-02-01,301,315.0,277.0,332.8333333333333,214.75257731958763,85
1957-03-01,356,301.0,317.0,336.0833333333333,215.6326530612245,86
1957-04-01,348,356.0,313.0,339.0,217.05050505050505,87
1957-05-01,355,348.0,318.0,342.0833333333333,218.36,88
1957-06-01,422,355.0,374.0,346.0833333333333,219.7128712871287,89
1957-07-01,465,422.0,413.0,350.4166666666667,221.69607843137254,90
1957-08-01,467,465.0,405.0,355.5833333333333,224.05825242718447,91
1957-09-01,404,467.0,355.0,359.6666666666667,226.39423076923077,92
1957-10-01,347,404.0,306.0,363.0833333333333,228.0857142857143,93
1957-11-01,305,347.0,271.0,365.9166666666667,229.20754716981133,94
1957-12-01,336,305.0,306.0,368.4166666666667,229.9158878504673,95
1958-01-01,340,336.0,315.0,370.5,230.89814814814815,96
1958-02-01,318,340.0,301.0,371.9166666666667,231.89908256880733,97
1958-03-01,362,318.0,356.0,372.4166666666667,232.6818181818182,98
1958-04-01,348,362.0,348.0,372.4166666666667,233.84684684684686,99
1958-05-01,363,348.0,355.0,373.0833333333333,234.86607142857142,100
1958-06-01,435,363.0,422.0,374.1666666666667,236.0,101
1958-07-01,491,435.0,465.0,376.3333333333333,237.74561403508773,102
1958-08-01,505,491.0,467.0,379.5,239.94782608695652,103
1958-09-01,404,505.0,404.0,379.5,242.23275862068965,104
1958-10-01,359,404.0,347.0,380.5,243.6153846153846,105
1958-11-01,310,359.0,305.0,380.9166666666667,244.59322033898306,106
1958-12-01,337,310.0,336.0,381.0,245.14285714285714,107
1959-01-01,360,337.0,340.0,382.6666666666667,245.90833333333333,108
1959-02-01,342,360.0,318.0,384.6666666666667,246.8512396694215,109
1959-03-01,406,342.0,362.0,388.3333333333333,247.63114754098362,110
1959-04-01,396,406.0,348.0,392.3333333333333,248.91869918699186,111
1959-05-01,420,396.0,363.0,397.0833333333333,250.1048387096774,112
1959-06-01,472,420.0,435.0,400.1666666666667,251.464,113
1959-07-01,548,472.0,491.0,404.9166666666667,253.21428571428572,114
1959-08-01,559,548.0,505.0,409.4166666666667,255.53543307086613,115
1959-09-01,463,559.0,404.0,414.3333333333333,257.90625,116
1959-10-01,407,463.0,359.0,418.3333333333333,259.49612403100775,117
1959-11-01,362,407.0,310.0,422.6666666666667,260.6307692307692,118
1959-12-01,405,362.0,337.0,428.3333333333333,261.40458015267177,119
1960-01-01,417,405.0,360.0,433.0833333333333,262.49242424242425,120
1960-02-01,391,417.0,342.0,437.1666666666667,263.65413533834584,121
1960-03-01,419,391.0,406.0,438.25,264.6044776119403,122
1960-04-01,461,419.0,396.0,443.6666666666667,265.7481481481482,123
1960-05-01,472,461.0,420.0,448.0,267.18382352941177,124
1960-06-01,535,472.0,472.0,453.25,268.6788321167883,125
1960-07-01,622,535.0,548.0,459.4166666666667,270.60869565217394,126
1960-08-01,606,622.0,559.0,463.3333333333333,273.136690647482,127
1960-09-01,508,606.0,463.0,467.0833333333333,275.51428571428573,128
1960-10-01,461,508.0,407.0,471.5833333333333,277.16312056737587,129
1960-11-01,390,461.0,362.0,473.9166666666667,278.4577464788732,130
1960-12-01,432,390.0,405.0,476.1666666666667,279.23776223776224,131
